id,filename,current_commit,parent_commit,old_status,new_status,status
352f288bbbe3c3f87dc971f9e25319cc63c4f985#1,PmagPy.ipynb,352f288bbbe3c3f87dc971f9e25319cc63c4f985,b79065354c43cea4bd71c2e5e2662db34f986336,success,ss,success
4a52cd32aaad00781d0e835a24d07309cc26c81c#0,PmagPy-cli.ipynb,4a52cd32aaad00781d0e835a24d07309cc26c81c,7598e9e379285c03f4450be71d494f9f0ecfb8ae,success,ss,success
a8967399f9cc3103e74c7af3cade5a0533e579eb#0,PmagPy-cli.ipynb,a8967399f9cc3103e74c7af3cade5a0533e579eb,d360bb198ed364ee46df84cda8c38593af7b76a0,success,ss,success
d5cb4de4c66cf54f159232c3f51dc557dc282fd8#0,PmagPy-cli.ipynb,d5cb4de4c66cf54f159232c3f51dc557dc282fd8,bab7e6434d1e9ba715da687ffb0157c875ac2fd6,success,ss,success
8b82fd190b506816b7b3960df8d9ea58e05615a6#1,PmagPy.ipynb,8b82fd190b506816b7b3960df8d9ea58e05615a6,3cdd05a0fbc33ebe82a3392b6fd60e8127f4440a,success,ss,success
77f98a19af0bbd4a48ac1f631c7e76cb44707c45#0,PmagPy-cli.ipynb,77f98a19af0bbd4a48ac1f631c7e76cb44707c45,0953ea3c6b70e58a095fc296be1b53ecf0d2e441,success,ss,success
c2fbebfa57b8fe95fae763aa299caac90443969d#0,PmagPy-cli.ipynb,c2fbebfa57b8fe95fae763aa299caac90443969d,333d2ef3d0ef7172e76e83b6dfd9a47b9b3209b8,success,ss,success
68dda3e925892881e5bfd8773592e7dfe312d867#0,prediction-intervals/prediction_intervals.ipynb,68dda3e925892881e5bfd8773592e7dfe312d867,30a91c0dc61f587f2fe5640deec8fb8ea06ad3f5,success,ss,success
3b294faeeb90057741e96d4c0e8650d76c197a71#0,poisson/asteroid-impacts-poisson.ipynb,3b294faeeb90057741e96d4c0e8650d76c197a71,f9caf4e60bccab4ff5bcfda1b46158591e8a72ac,success,ss,success
f9caf4e60bccab4ff5bcfda1b46158591e8a72ac#0,poisson/asteroid-impacts-poisson.ipynb,f9caf4e60bccab4ff5bcfda1b46158591e8a72ac,c100d9c7e1a94a6919ac61fc1f1b8ad4b89c53fe,success,ss,success
f5fb7d13401f2bba82165f2657ea344ec9cdea24#0,poisson/asteroid-impacts-poisson.ipynb,f5fb7d13401f2bba82165f2657ea344ec9cdea24,3f31309de6a2c05494aed5fbc67afedf7c337a1e,success,ss,success
120e2fab0fa4d5fbfe4f527a2971d860fffb3035#0,widgets/Widgets Overview.ipynb,120e2fab0fa4d5fbfe4f527a2971d860fffb3035,3c15e874cd046e095787db7950797e22a6227ab5,success,ss,success
7a7457cfb1fd1b1b07edf6e8831989302084df59#0,poisson/poisson.ipynb,7a7457cfb1fd1b1b07edf6e8831989302084df59,37a1db67edf792c9ac7718c1bad39884430de9d8,success,ss,success
32730e4d9f10401db0f77886fc93d417174dcefb#0,plotly/Plotly Intro.ipynb,32730e4d9f10401db0f77886fc93d417174dcefb,97bbb688257460625c32f8bb65ee2f2c410a0d07,success,ss,success
42af1df7746821893028ee49e52a6060f35d18c4#0,medium/Medium Stats Analysis.ipynb,42af1df7746821893028ee49e52a6060f35d18c4,f10625a6df6c732c293d886594496e2802a17f5a,success,ss,success
267ac79cdc6f0b60c0dc334983ad8c0970a7b5da#1,medium/Medium Stats Analysis.ipynb,267ac79cdc6f0b60c0dc334983ad8c0970a7b5da,fa23532a873441ae00e8763cda8a31a3f39083e8,success,ss,success
2a174e9848b1aca55d907606e4e52e00ad8dfefe#0,plotly/plotly-intermediate-time-series.ipynb,2a174e9848b1aca55d907606e4e52e00ad8dfefe,4296aa8ffe7d7b607ee2e33af16a944b0b1dfc23,success,ss,success
23244de92fcb59bd92b120df05595902fe3a897a#0,plotly/plotly-time-series.ipynb,23244de92fcb59bd92b120df05595902fe3a897a,95aee25efca856b8dc3a246d095b066d512893ec,success,ss,success
15ebdadc4977926ee2eed820e3c168e1aba7fd8a#0,slack_interaction/Interacting with Slack.ipynb,15ebdadc4977926ee2eed820e3c168e1aba7fd8a,54e8a069d25b49735459560cbf1a4f4887ba3b3f,success,ss,success
94fd16fff52002dbb106dd0a7e44ca075117045e#0,slack_interaction/Slack Integration.ipynb,94fd16fff52002dbb106dd0a7e44ca075117045e,8e8a847760bcaa59af68e7d0577dcb2e4b7fe82d,success,ss,success
d3c87c2f29c6260d1ebddb9e1414ca839d37a5bc#0,statistics/Investigating Data.ipynb,d3c87c2f29c6260d1ebddb9e1414ca839d37a5bc,7ae4ab14a9db4682952949ae415785a2b4c7593f,success,ss,success
13368040a9d198b11608f3ecaa627a1956fa58b6#0,statistics/Investigating Data.ipynb,13368040a9d198b11608f3ecaa627a1956fa58b6,70147b61c9fe75a95193f7ff8c922e1f29c276bf,success,ss,success
6012c3d1b2062b135f81d8cb9b9d22dcab5e553a#0,statistics/Simpson's Paradox.ipynb,6012c3d1b2062b135f81d8cb9b9d22dcab5e553a,235c879f3e66b57b317a162ea50ef14438b849b3,success,ss,success
628b6a3c8e5320291ee2c083e38d32a21734e127#0,bayesian_lr/Bayesian Linear Regression Project.ipynb,628b6a3c8e5320291ee2c083e38d32a21734e127,5305363044a6cdfa5c4deb39d02fe5261cd7e3b9,success,ss,success
0ccbf25fce26b756abe8908531ad5827c4a43183#0,univariate_dist/Histogram and Density Plot.ipynb,0ccbf25fce26b756abe8908531ad5827c4a43183,8f8ab8c0cc2d08a80af9136d71743ae7f62c1d0b,success,ss,success
a37b3bddc35ef0f44af23f9aec17c939a72ceb3b#0,over_vs_under/Over vs Under Fitting Example.ipynb,a37b3bddc35ef0f44af23f9aec17c939a72ceb3b,36d10c3ea47c70c418c5712472d4db39acea1fe4,success,ss,success
