repo,id,filename,old_cell,new_cell,type,evaluation,correct_old_cell,correct_new_cell
fastai,cc94c963f78e6a14d56b52e4e24bb6e657b12deb#9,docs_src/metrics.ipynb,-1,55,add,y,-1,-1
recommenders,e89d4f0b96d399f8e108d28e7778e6c28743519f#0,notebooks/02_modeling/surprise_svd_deep_dive.ipynb,-1,4,add,y,-1,-1
fastai,9dcd156e7928014c4ac32adac8a01c4364885b1a#0,courses/dl1/lang_model.ipynb,-1,8,add,n,8,8
fastai,3abc8610ca829ab162a6bfd7c379e4acec2fc62a#0,docs_src/data_block.ipynb,-1,147,add,i,-1,-1
fastai,d6e918942cf51d5e23fe570a1b7edcca5af84b2b#2,docs_src/widgets.image_cleaner.ipynb,42,-1,delete,i,42,42
PmagPy,4a52cd32aaad00781d0e835a24d07309cc26c81c#0,PmagPy-cli.ipynb,18,-1,delete,n,18,18
fastai,6e9bb9b46a65fd720edca9f67fbde627e1a8628c#15,docs_src/data_block.ipynb,183,-1,delete,i,183,183
examples,7fb5b8718d4daa0fc4ec70c436fd23173ce3257e#0,community/en/swift/open_spiel/T01_RandomMazeWalk.ipynb,4,-1,delete,y,4,4
fastai,ab54f6fba1666fdb649c573adb8086be35afcc9f#0,tutorials/linalg_pytorch.ipynb,30,-1,delete,n,30,30
fastai,7c5f9412bf9771e7fd852b0c4ec556924c664c02#0,tutorials/linalg_pytorch.ipynb,15,-1,delete,n,15,15
fastai,7e4ca3f39d06c83f712d9bc83dde207204764d05#3,docs_src/data_block.ipynb,207,-1,delete,i,207,207
fastai,d3a07aa1e1de513669248acd9c9ffb36fb789f09#0,courses/ml1/lesson2.ipynb,82,-1,delete,y,82,82
fastai,f41e08ee5f69f44b6818b6e97ca0dcbac02fdd29#0,docs_src/data_block.ipynb,13,-1,delete,y,13,13
fastai,2e99e9ead29f830df6333c32f78ba4168e88f6c7#4,docs_src/data_block.ipynb,183,-1,delete,i,183,183
h2o-3,06874d9cd4e537dc5f2118b2134e076c68ff5844#0,examples/deeplearning/notebooks/deeplearning_benchmark_mnist.ipynb,5,-1,delete,y,5,5
recommenders,68b126c75415960e4b64242890d2b06a41941e73#0,notebooks/00_quick_start/sar_movielens_with_azureml.ipynb,24,-1,delete,i,24,24
fastai,8102d200a1f4795c3190993c2160bdae02931a85#16,docs_src/widgets.image_cleaner.ipynb,82,-1,delete,i,82,82
recommenders,57d109a6abbfd6cb554c710defccc09cf595acc9#0,notebooks/00_quick_start/sar_pyspark_movielens.ipynb,7,-1,delete,n,7,7
recommenders,48769d2f682fb326987713a8d8793cd0c9e5c714#1,notebooks/02_modeling/surprise_svd_deep_dive.ipynb,11,-1,delete,y,11,11
fastai,dd7d0bc5d8114f3ea1d5ca1658280775aacc94a4#17,docs_src/train.ipynb,38,-1,delete,i,38,38
fastai,9b488d4ce4b150f84e71f2a6d78c3d7685cb0200#2,docs_src/vision.learner.ipynb,47,-1,delete,i,47,47
PmagPy,c2fbebfa57b8fe95fae763aa299caac90443969d#0,PmagPy-cli.ipynb,43,-1,delete,n,43,43
fastai,a588eff25cc1dc55e5713bf3f24c77f5b63cc9b9#0,docs_src/data_block.ipynb,181,-1,delete,i,181,181
examples,036117caae91ede4783cb0797273128d203e56aa#9,courses/udacity_intro_to_tensorflow_for_deep_learning/l06c02_exercise_flowers_with_transfer_learning.ipynb,28,-1,delete,n,28,28
fastai,6da16c3e551f888c33289fad817b1ea603b639e0#2,docs_src/train.ipynb,57,-1,delete,i,57,57
fastai,a6926d47ed83641eee0c53a2d8137e31a82aba28#1,courses/dl2/carvana.ipynb,109,-1,delete,i,109,109
fastai,6e9bb9b46a65fd720edca9f67fbde627e1a8628c#41,docs_src/widgets.image_cleaner.ipynb,58,-1,delete,i,58,58
recommenders,b51a59185b43d4ec81d7180a92c94700967afa08#0,notebooks/05_operationalize/als_movie_o16n.ipynb,30,-1,delete,n,30,30
ThinkDSP,f3e21cc5a67534f8077bd64145efc89827c9d531#1,code/chap03soln.ipynb,25,-1,delete,y,25,25
fastai,a913af737fbb2e98f89cbcd5ae0e6a8269777859#41,courses/dl2/wgan.ipynb,31,-1,delete,i,31,31
ThinkDSP,97e8b775c5b68466d9df39962eee274f8e00d1b1#0,code/chap04.ipynb,22,-1,delete,i,22,22
fastai,76c18e9efed6ca77023abb5f5dd8a991114c3b14#27,docs_src/text.data.ipynb,86,-1,delete,i,86,86
fastai,f93ddafcdfdc0f96ed059af0eff59a10b2726dca#0,courses/ml1/lesson1.ipynb,68,-1,delete,y,68,68
fastai,200deb5d68366eeb53a1e48a0c89a70e0a4ce6a1#5,docs_src/data_block.ipynb,152,-1,delete,i,152,152
fastai,f34fa8160e0132e3b1a2032d07b36b0882e9dfb4#24,docs_src/widgets.image_cleaner.ipynb,68,-1,delete,i,68,68
fastai,c249721ebe977e6c575074242936ba44e04182fb#4,docs_src/training.ipynb,2,-1,delete,n,2,2
recommenders,7e22731cb5706563bdc87c80e03e25374deb7d6d#0,notebooks/02_model/lightgbm_estimate_criteo_dac.ipynb,24,-1,delete,y,24,24
fastai,4cdc5475e629aa4658f7dc8f2d101ffcbe9f5fab#2,courses/ml1/lesson1-2.ipynb,37,-1,delete,y,37,37
fastai,cdd06e38332b04e4dd3af927cb0ff4549c82a52b#2,docs_src/callbacks.tracker.ipynb,40,-1,delete,i,40,40
ThinkDSP,b7d9731656505f4e63f588edf9808f1afaa9c756#2,code/chap04soln.ipynb,8,-1,delete,y,8,8
recommenders,796c9ff7ee05daf856024f0a76ad80c8a7d4b881#0,notebooks/00_quick_start/als_movielens.ipynb,17,-1,delete,n,17,17
fastai,be7bcc5e25322af8d398a7a89ee2dec61a08e664#0,courses/dl1/lesson1-workshop.ipynb,115,-1,delete,i,115,115
recommenders,3ea7cf02d03f4c4dbe1590033273ab5c4ca8dbc3#0,notebooks/01_data/data_split.ipynb,4,-1,delete,n,4,4
fastai,a913af737fbb2e98f89cbcd5ae0e6a8269777859#37,courses/dl2/style-transfer-net.ipynb,51,-1,delete,i,51,51
fastai,4cdc5475e629aa4658f7dc8f2d101ffcbe9f5fab#0,courses/dl1/rossman.ipynb,132,-1,delete,y,132,132
ipython-in-depth,2e03db4635a1fbda1afc01bbbb49647eff9602d4#0,2 - Autoawait in IPython.ipynb,35,-1,delete,i,35,35
fastai,c221ccbdb24edaebc6daa107df9a58c1ff3f82a3#2,courses/ml1/lesson4-mnist_sgd.ipynb,52,-1,delete,y,52,52
ThinkDSP,4b1b85b76b3bc3ad0d3da7b2a1668571b8152075#0,code/chap09.ipynb,1,-1,delete,n,1,1
recommenders,42b2fe88a776587f5eac6a25befa5ebea74d09cc#0,notebooks/00_quick_start/wide_deep_model_movielens.ipynb,16,-1,delete,y,16,16
examples,b240dd74f2591fd95eb291dc01f92758c85e8289#1,tensorflow_examples/lite/model_maker/demo/text_classification.ipynb,45,-1,delete,y,45,45
fastai,352d71d9c025fecbb40092062101ba5515fe232e#0,docs_src/utils.mem.ipynb,38,-1,delete,i,38,38
fastai,43c4bfdd241ece3a0355f59609dde979bfeb5106#1,docs_src/data_block.ipynb,150,-1,delete,i,150,150
fastai,44e05b4e57dd553155a2860360a55dbd95e94fde#8,docs_src/text.learner.ipynb,49,-1,delete,i,49,49
fastai,b785fe51ab0566f3ee87b1378647a6f3d0329d1e#4,docs_src/widgets.image_cleaner.ipynb,60,-1,delete,i,60,60
recommenders,d9e1dfe673dae3348c075de9086199c5b1fd74ca#0,notebooks/00_quick_start/sar_single_node_movielens.ipynb,6,5,move,y,6,6
fastai,f852743b945088c9123139c4962364546a62a7fe#2,docs_src/vision.data.ipynb,114,82,move,n,114,114
fastai,80f8f3bc67947148ca1d860404e053e9b01cdbc8#1,docs_src/basic_train.ipynb,98,85,move,y,98,98
fastai,fab1a410ea560f0f6cea300fa6d5baff7802a169#1,courses/dl1/rossman.ipynb,104,85,move,y,104,104
